"movieCd","movieNm","openDt","showTm","director","actors","genres","watchGradeNm","posterUrl","overview"
"20193911","하이, 젝시","20200219","84","스콧 무어","아담 드바인, 로즈 번","Comedy","15세이상관람가","https://image.tmdb.org/t/p/w500/sizYjc8lAFStRZXtI1uRBDsOTt6.jpg","Phil's new phone comes with an unexpected feature, Jexi...an A.I. determined to keep him all to herself in a comedy about what can happen when you love your phone more than all else."
"20199842","인비저블맨","20200226","124","리 워넬","엘리자베스 모스, 알디스 호지","Thriller, Science Fiction, Horror","15세이상관람가","https://image.tmdb.org/t/p/w500/5EufsDwXdY2CVttYOk2WtYhgKpa.jpg","When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see."
"20193526","젠틀맨","20200226","113","가이 리치","매튜 매커너히, 휴 그랜트, 콜린 파렐, 찰리 허냄, 헨리 골딩, 미쉘 독커리, 에디 마산","Action, Crime","청소년관람불가","https://image.tmdb.org/t/p/w500/bTyD004PndbO9xu9p2aBlmp9xQT.jpg","Hyun-soo, a C.E.O of a private detective agency, visits a pension with a client asking for her dog. While waiting outside of pension, he is falsely accused of kidnapping the client. During the arrest Hyun-soo, a serious car accident occurs and people misunderstand Hyun-soo as a prosecutor instead of a suspect. To find the real criminal, Hyun-soo pretends to be a prosecutor. Hwa-jin is an elite prosecutor but demoted to the provinces while trying to catch a law firm conglomerate Do-hoon, who colluded with the prosecutor’s leadership, meets Hyun-soo. Hwa-jin finds out the case is related to Do-hoon, she begins cooperating with Hyun-soo. While cooperating is on-going, they realize that there is a dirty truth behind the crime."
"20204681","더 보이 2: 돌아온 브람스","20200305","86","윌리엄 브렌트 벨","케이티 홈즈, 크리스토퍼 컨버리, 오와인 예만, 랄프 아인슨","Horror, Mystery, Thriller","15세이상관람가","https://image.tmdb.org/t/p/w500/swTC1DSZcvdxTOzmAKrtoUUPiDW.jpg","After a family moves into the Heelshire Mansion, their young son soon makes friends with a life-like doll called Brahms."
"20190864","울프 콜","20200305","115","안토닌 보드리","프랑수아 시빌, 오마 사이, 마티유 카소비츠, 레다 카텝","Thriller, Action, Adventure","15세이상관람가","https://image.tmdb.org/t/p/w500/8bxIzp9w9l9ZzGVwNaIKOaem05A.jpg","Shown from the perspective of a young submariner with unusually sensitive hearing and uncannily precise sound recognition. The fate of many often depends on his ability, and one time, whilst highly stressed, he makes a incorrect call which put his entire crew in mortal danger.  Trying to regain the confidence of his comrades, he conducts an unauthorised investigation of an apparent plot which, it turns out, risks escalating into a nuclear apocalypse. Suddenly working under pressure with the fleet admiral, they must do whatever is necessary, even the unthinkable, to prevent a nuclear war, since a confirmed nuclear strike order cannot be countermanded."
"20204791","다크 워터스","20200311","127","토드 헤인즈","마크 러팔로, 앤 해서웨이, 팀 로빈스, 빌 캠프, 빅터 가버, 윌리엄 잭슨 하퍼, 루이자 크로즈","Drama, Thriller","12세이상관람가","https://image.tmdb.org/t/p/w500/bzvzaHqKBSuGIIWhinTQPHvT0zf.jpg","A tenacious attorney uncovers a dark secret that connects a growing number of unexplained deaths to one of the world's largest corporations. In the process, he risks everything ? his future, his family, and his own life ? to expose the truth."
"20205096","세인트 아가타","20200319","103","대런 린 보우즈만","사브리나 컨, 캐롤린 헨니시, 트린 밀러","Horror, Thriller","청소년관람불가","https://image.tmdb.org/t/p/w500/zpR3FzaagWTbwgFPn1P6sEZ4str.jpg","St. Agatha is set in the 1950s in small town Georgia. A pregnant con woman named Agatha is on the run and seeks refuge in a convent hidden in deafening isolation. What first starts out as the perfect place to have a child turns into a dark lair where silence is forced. Ghastly secrets are masked, and every bit of will power Agatha has is tested. She soon learns the sick and twisted truth of the convent and the odd people that lurk inside its halls. Agatha must now find a way to discover the unyielding strength needed to escape and save her baby before she’s caged behind these walls forever."
"20010238","메멘토","20010824","113","크리스토퍼 놀란","가이 피어스, 캐리 앤 모스, 조 판톨리아노","Thriller","15세관람가","https://image.tmdb.org/t/p/w500/m1Ma5aOtUi3Zp8zucTbnSKJ6fd3.jpg","Suddenly they woke up. Not knowing who did it, 6 of them got up in the same place. The survival game for 6 people with nothing in common has begun."
"20204107","주디","20200325","117","루퍼트 굴드","르네 젤위거","Drama, History, Music","12세이상관람가","https://image.tmdb.org/t/p/w500/iqJhHjD6k6T07waELjMKDpQJUP.jpg","Thirty years after starring in ""The Wizard of Oz,"" beloved actress and singer Judy Garland arrives in London to perform sold-out shows at the Talk of the Town nightclub. While there, she reminisces with friends and fans and begins a whirlwind romance with musician Mickey Deans, her soon-to-be fifth husband."
"20205708","스케어리 스토리:어둠의 속삭임","20200325","108","안드레 외브레달","딘 노리스","장르 정보 없음","15세이상관람가","포스터 정보 없음","줄거리 정보 없음"
"20206424","사랑하고 있습니까","20200325","107","김정권","김소은, 성훈, 김선웅, 김소혜, 판도, 이판도, 전미선, 알렉스, 홍성숙, 임준혁, 신정윤, 편보승, 이정우, 정용필, 임재근, 최지훈, 신주연, 김정화, 손이슬, 임진향, 윤성우, 김기현, 정근채","Romance, Fantasy","12세이상관람가","https://image.tmdb.org/t/p/w500/dVYhcpZaWJgTuClx5f3wCTH1t5X.jpg","A young woman with a miserable life receives a magical book that gives her the power to make every man she encounters fall for her."
"20205262","엽문4: 더 파이널","20200401","104","엽위신","견자단, 오월, 오건호, 스콧 앳킨스","Action, History, Drama","12세이상관람가","https://image.tmdb.org/t/p/w500/b5cz6BoyHrgBnhfDHOW5hXRWbln.jpg","Following the death of his wife, Ip Man travels to San Francisco to ease tensions between the local kung fu masters and his star student, Bruce Lee, while searching for a better future for his son."
"20206446","n번째 이별 중","20200401","104","감독 정보 없음","에이사 버터필드, 소피 터너","장르 정보 없음","12세이상관람가","포스터 정보 없음","줄거리 정보 없음"
"20205841","더 터닝","20200402","94","플로리아 시지스몬디","맥켄지 데이비스, 핀 울프하드","Horror, Thriller","15세이상관람가","https://image.tmdb.org/t/p/w500/uiMHiHp9eAjJty8rddoUnL9G5fU.jpg","A young woman quits her teaching job to become a private tutor and governess for two wealthy young kids, but soon starts to suspect there’s more to their house than meets the eye."
"20206402","오픈 더 도어","20200408","88","올가 고로데츠카야","블라디미르 브도비첸코프","Mystery, Thriller","15세이상관람가","https://image.tmdb.org/t/p/w500/46vBiK9FvD8Q5UIjDm46xOfQGaS.jpg","Late at night, a Korean man, Chi-hoon, visits his older sister’s house which is located in a residential area in the United States. He knocks on the door and it is Mun-seok, the husband of Chi-hoon’s sister, who welcomes Chi-hoon. The two start drinking. While having conversation, the truth that will determine the fate of their family is revealed. What on earth happened to this family?"
"20205902","신과 나: 100일간의 거래","20200408","136","팍품 웡품","배우 정보 없음","Drama, Thriller, Fantasy","15세이상관람가","https://image.tmdb.org/t/p/w500/heSIBApD96i1WtQK6xnfVrMX3kv.jpg","When a spirit inhabits the body of a teen named Min, he begins to settle into his life until he's forced to find out who caused Min's mysterious death."
"20206190","서치 아웃","20200415","92","곽정","이시언, 김성철, 허가윤, 김서연, 주시현, 배상우, 이연빈, 고승후, 김경원, 고수정, 심완준, 최윤빈, 유동훈, 정민규, 손병호, 김지나, 금파, 한다미, 김지민, 서승원, 박근형, 이가현, 이은채, 김선우, 김형석, 정하민, 문하영, 강림, 유세은, 최효영, 강유진, 우예진, 한창민, 배강민, 박송, 김태형, 이후, 서성하, 강규현, 안호정, 구요한, 선종구, 장정주, 엄준용, 신명은, 김수민, 신상용, 김주용, 김진영, 김승일, 민재원, 남권우, 박진서","Thriller, Crime","15세이상관람가","https://image.tmdb.org/t/p/w500/bqdFXb6K2ix8eIObZXs6StrkHJn.jpg","Trainee policeman, 'Sung-min' and job seeker, 'Jun-hyeok' were suspicious about a suicide incident of a girl who lived in the same dormitory, and they will be tracking her SNS account with the help of a private detective agency hacker, 'Nu-ri'.  The investigation which started out of chivalry leads to uncontrollable consequences. These three people, Jun-hyeok, Sung-min, and Nu-ri become targets of SNS crime."
"20206021","건즈 아킴보","20200415","97","제이슨 레이 하우덴","다니엘 래드클리프, 사마라 위빙","Action, Comedy, Crime, Thriller","청소년관람불가","https://image.tmdb.org/t/p/w500/2kNnf7BwRCEm4bcFkdiE0T4U25s.jpg","An ordinary guy suddenly finds himself forced to fight a gladiator-like battle for a dark website that streams the violence for viewers. In order to survive and rescue his kidnapped ex-girlfriend, he must battle Nix, a heavily armed and much more experienced fighter."
"20204741","비밀정보원: 인 더 프리즌","20200415","113","안드레아 디 스테파노","로자먼드 파이크, 조엘 킨나만, 커먼, 아나 디 아르마스, 클라이브 오웬","Drama, Crime, Thriller","청소년관람불가","https://image.tmdb.org/t/p/w500/pbGveUC8mk0QRkdXpERPLbMFnrg.jpg","In New York, former convict Pete Koslow, related to the Polish mafia, must deal with both Klimek the General, his ruthless boss, and the twisted ambitions of two federal agents, as he tries to survive and protect the lives of his loved ones."
"20196716","유령선","20200415","48","김지영","박호산, 김지영, 심우성","Documentary","12세이상관람가","https://image.tmdb.org/t/p/w500/ugmyhgJoAehtMNstU6nN0OfnQZO.jpg","A thousand lies to conceal the truth of the Sewol Ferry.  As many as 1,000 ships, 160,000 AIS data, were manipulated to hide the truth behind the sinking of the Sewol Ferry on April 16, 2014. Who are the organizers of this and why did they build a ghost ship! We must ask persistent questions. Since that day, nothing has been revealed yet. Government AIS data of a thousand lies. Now it is time for the Korean prosecution to answer."
"20206447","라라걸","20200415","98","레이첼 그리피스","테레사 팔머, 샘 닐, 설리반 스탭플턴","Drama","전체관람가","https://image.tmdb.org/t/p/w500/bTvyxilpHHvZNN0ikOGe7o1L5fQ.jpg","The story of Michelle Payne, the first female jockey to win the Melbourne Cup."
"20206865","애프터 웨딩 인 뉴욕","20200423","111","바트 프룬디치","미쉘 윌리엄스, 줄리안 무어, 빌리 크루덥","Drama","12세이상관람가","https://image.tmdb.org/t/p/w500/cyFbVSajl1NGwBJdW0xOyvh9t7G.jpg","Seeking funds for her orphanage in India, Isabelle travels to New York to meet Theresa, a wealthy benefactor. An invitation to attend a wedding ignites a series of events in which the past collides with the present while mysteries unravel."
